Time,Seatpad-X,Seatpad-Y,Seatpad-Z,X_w,Y_w,Z_w,alX,alY,alZ
0.066,0.016865302,-0.004689046,0.994311154,0.000162392,-0.000409534,-0.001101224,0.014845529,-0.001958249,0.674283028
0.068,0.021103499,-2.83E-05,0.999225199,0.000155355,-0.000469248,-0.001204759,0.014695946,-0.002131619,0.674189329
0.07,0.023035619,0.002096002,1.000398278,0.000148319,-0.000498334,-0.000993488,0.014562214,-0.002113034,0.674062133
0.072,0.021882579,-0.001106287,0.997513175,0.000187107,-0.000474404,-0.000467774,0.014588893,-0.001858214,0.673910916
0.074,0.021664439,0.004410529,0.998717904,0.00025823,-0.000419402,8.22E-05,0.014704352,-0.001447527,0.673746765
0.076,0.017021116,0.004378822,0.993962407,0.000313529,-0.000340843,0.000400657,0.014742238,-0.000813229,0.673579931
0.078,0.017706707,-0.001581875,0.997513175,0.00031712,-0.000242197,0.000446284,0.014550153,-9.67E-05,0.673417866
0.08,0.020542562,0.001303357,0.998369157,0.000280913,-0.000166992,0.000402993,0.01421719,0.000432957,0.673264802
0.082,0.016896464,-0.001550168,0.992979586,0.000246468,-0.000136602,0.000422105,0.013875021,0.000739023,0.673123002
0.084,0.019576499,-0.000947757,0.991584659,0.000223241,-0.000132128,0.00029636,0.013518704,0.000832548,0.67299515
0.086,0.019389521,0.000891181,0.996086478,0.000203497,-0.000133798,-0.000113062,0.013212552,0.000786068,0.672886491
0.088,0.018703932,-0.001581875,0.995008647,0.000191261,-0.000127554,-0.000515402,0.012995656,0.000689826,0.672805905
0.09,0.020511398,-0.002342815,0.997481525,0.000186078,-0.000122605,-0.000651542,0.012858379,0.000491719,0.672764063
0.092,0.018267645,-0.003864695,0.99811554,0.000184484,-0.000143799,-0.000535589,0.012796906,0.000133404,0.6727705
0.094,0.018392302,0.001081416,0.994342804,0.000178039,-0.000185119,-0.000315869,0.01273761,-0.000275944,0.672828853
0.096,0.020075113,0.001461886,0.996245027,0.000161845,-0.0002026,-0.000199036,0.012678162,-0.000509387,0.672933936
0.098,0.017862527,-0.004530517,0.994215965,0.000145752,-0.000185398,-0.000253528,0.012648996,-0.000616992,0.673070312
0.1,0.018111831,0.002413061,1.001127362,0.000128703,-0.000173034,-0.000301688,0.012591471,-0.000728847,0.673214078
0.102,0.015556447,0.000510711,0.997069359,9.42E-05,-0.000165835,-0.000120386,0.012434584,-0.000714094,0.673337877
0.104,0.015151324,0.000605828,1.001063943,2.96E-05,-0.000135991,0.000285076,0.012120756,-0.000554377,0.673416615
0.106,0.021196989,0.003934941,0.998908103,-4.81E-05,-8.49E-05,0.000759034,0.011785262,-0.000282048,0.673433781
0.108,0.021072337,0.001239944,0.997544885,-8.68E-05,-1.67E-05,0.001169547,0.011694967,0.000122125,0.673385203
0.11,0.018672768,-0.003072048,0.996688843,-6.97E-05,4.65E-05,0.001385054,0.011837344,0.000450393,0.673279762
0.112,0.017457403,-0.000598993,0.997196138,-4.69E-05,6.44E-05,0.001385242,0.011994153,0.000525953,0.67313689
0.114,0.018953236,-0.002596461,0.997322977,-5.74E-05,4.01E-05,0.001298409,0.012080601,0.000405994,0.672982395
0.116,0.014808531,-0.001264815,0.995928049,-9.56E-05,5.47E-06,0.001211887,0.012067363,0.00016646,0.672843277
0.118,0.019233707,-0.001962345,0.997988701,-0.000148962,-2.48E-05,0.001121567,0.011943636,-0.000131152,0.672743201
0.12,0.017395077,-0.003706165,0.996245027,-0.000200283,-5.56E-05,0.001037266,0.011816519,-0.000478393,0.672699928
0.122,0.019576499,-0.000377053,0.998559356,-0.000232063,-9.38E-05,0.00098663,0.011756218,-0.000846752,0.672723174
0.124,0.019669993,-0.000281936,1.000715256,-0.00024219,-0.000123221,0.001037613,0.011796131,-0.00109845,0.672814012
0.126,0.020573724,-0.003642753,0.994025767,-0.000232744,-0.000134145,0.001185257,0.011962768,-0.00125192,0.672965109
0.128,0.022661664,0.000415593,0.996752322,-0.000201724,-0.000145958,0.001198544,0.012277343,-0.001381635,0.673161387
0.13,0.016429015,-0.002786696,0.996403575,-0.000159758,-0.000163983,0.000986356,0.012638311,-0.001454487,0.673381865
0.132,0.019545337,0.001430179,0.993740439,-0.000140211,-0.000174946,0.000699953,0.012854149,-0.001447445,0.67360276
0.134,0.019732319,0.00257159,0.996118188,-0.000149414,-0.000160721,0.000390946,0.012963269,-0.00126174,0.673801363
0.136,0.019545337,-0.000472171,0.997576594,-0.000155648,-0.000113606,0.000119722,0.013061466,-0.000906965,0.673959255
0.138,0.021290477,0.002000884,0.995928049,-0.000142632,-5.76E-05,3.60E-06,0.013176003,-0.000521928,0.67406565
0.14,0.020916522,0.002000884,0.998527706,-0.000111796,-7.04E-06,1.70E-05,0.013350587,-0.000110213,0.674118102
0.142,0.019701157,-0.000281936,0.999542236,-7.17E-05,4.43E-05,0.000132379,0.013545218,0.000289352,0.674121439
0.144,0.018361134,-0.002279403,0.993296623,-4.35E-05,7.96E-05,0.000297627,0.013653769,0.000517215,0.674085021
0.146,0.020760702,-0.0038964,0.996720612,-3.63E-05,7.11E-05,0.000299437,0.013668294,0.000458103,0.67401886
0.148,0.017488565,-0.00367446,0.997798502,-3.81E-05,1.67E-05,0.000137275,0.013625047,0.000119089,0.67393136
0.15,0.020667214,-0.000789228,0.997608244,-4.10E-05,-5.36E-05,7.03E-05,0.013528764,-0.000337811,0.673827529
0.152,0.021913743,0.000954592,0.999066651,-3.39E-05,-9.54E-05,0.000188139,0.013493138,-0.000678235,0.673709869
0.154,0.017363913,0.000510711,0.996371865,-9.09E-06,-8.78E-05,0.000377106,0.013521748,-0.000797536,0.673580229
0.156,0.021851417,0.003903235,0.996815681,1.42E-05,-4.17E-05,0.00048705,0.013521603,-0.000680112,0.673442006
0.158,0.020573724,-0.003484225,0.99916178,3.25E-05,1.65E-05,0.000499266,0.013566183,-0.000441316,0.673301399
0.16,0.020012787,-0.0038964,0.99687916,6.05E-05,3.78E-05,0.000539371,0.013663341,-0.000380736,0.67316705
0.162,0.018080667,-0.00199405,0.994342804,8.50E-05,-3.72E-06,0.000570511,0.013699362,-0.000566026,0.673048556
0.164,0.019763483,0.001620414,0.992218673,8.77E-05,-5.85E-05,0.000369281,0.013638145,-0.00075339,0.672954321
0.166,0.022848641,-0.00177211,0.994945168,8.76E-05,-7.25E-05,-0.000102657,0.013610176,-0.000811775,0.672889888
0.168,0.02072954,0.001176533,0.996340156,0.000116936,-5.45E-05,-0.000573546,0.013720873,-0.000787207,0.672856987
0.17,0.016678324,0.000288769,0.994881809,0.000158428,-2.93E-05,-0.000813503,0.013807029,-0.000678935,0.672853649
0.172,0.021851417,-0.00031364,0.996562064,0.000171606,-2.52E-06,-0.000878725,0.013769079,-0.000514217,0.672874749
0.174,0.02409517,0.000986298,0.996562064,0.000180795,2.25E-05,-0.000877673,0.013826007,-0.00034245,0.672912717
0.176,0.021321641,-0.00085264,0.99472326,0.000233353,4.44E-05,-0.000849828,0.014077463,-0.000176778,0.672957718
0.178,0.021882579,-0.000630699,0.998559356,0.000312183,6.00E-05,-0.000820047,0.014378335,-7.16E-05,0.672998011
0.18,0.020106275,-0.00275499,0.989809215,0.000374978,5.91E-05,-0.000833435,0.014617819,-8.44E-05,0.673020303
0.182,0.015899239,0.002888649,0.994057536,0.00039837,4.84E-05,-0.001044828,0.01465406,-0.000139327,0.673010886
0.184,0.018298808,-0.001359933,0.995389044,0.000371412,5.43E-05,-0.001420098,0.014400518,-0.000118159,0.672957718
0.186,0.018018341,-0.001042875,0.997608244,0.000314772,7.40E-05,-0.001618326,0.013987701,-0.000100835,0.672853291
0.188,0.022537008,-0.000250229,0.998305738,0.000274982,8.16E-05,-0.001458332,0.013633518,-0.000144037,0.672696531
0.19,0.017831363,0.006503114,0.998464286,0.000274415,9.69E-05,-0.001052492,0.013426696,-4.88E-05,0.672494233
0.192,0.016927628,-6.00E-05,0.997703433,0.000280429,0.000159051,-0.000592923,0.013214531,0.000283056,0.672259748
0.194,0.019763483,-0.000250229,0.993423402,0.000256841,0.000238799,-0.00028057,0.01294208,0.000608087,0.672009945
0.196,0.019109055,0.000859474,0.994659901,0.000222652,0.000282646,-0.000269564,0.012735412,0.000785494,0.671761751
0.198,0.018080667,0.002191119,0.994279444,0.000202669,0.000302787,-0.000498641,0.012597492,0.000921464,0.671528459
0.2,0.015369465,0.002761825,0.994374514,0.000177588,0.000340471,-0.000763013,0.012405793,0.001107167,0.671318591
0.202,0.020199768,0.000320476,0.999732435,0.000130259,0.000399576,-0.000883341,0.012162406,0.001310477,0.671136379
0.204,0.021134663,0.001335062,0.99808383,9.27E-05,0.000453597,-0.000712612,0.012063713,0.001442517,0.670983791
0.206,0.019732319,0.001144827,1.000905395,9.75E-05,0.000490544,-0.00026254,0.012172084,0.001506139,0.670862615
0.208,0.020075113,0.001271651,0.995737731,0.000125447,0.000521826,0.000249827,0.012373824,0.001536047,0.670775235
0.21,0.019202543,-0.000789228,0.99811554,0.000145297,0.000550425,0.0005873,0.012587261,0.001501811,0.670723379
0.212,0.016055059,-0.001296522,0.992884457,0.000141589,0.000561769,0.000649515,0.012699623,0.001338765,0.670706153
0.214,0.017208099,-0.004910988,0.995420754,0.00010375,0.000538218,0.000461162,0.012617289,0.000971853,0.670718431
0.216,0.022038398,-0.001676992,0.994025767,5.34E-05,0.000476745,0.000135776,0.012496762,0.000413256,0.670750916
0.218,0.020230932,0.00273012,0.993898988,3.93E-05,0.00041614,-0.000196407,0.012542239,-7.76E-05,0.670792401
0.22,0.022318866,-0.000408758,0.995674372,7.28E-05,0.000405611,-0.000480097,0.012756811,-0.000306595,0.670833409
0.222,0.022194214,-0.001296522,0.996847391,0.000130287,0.000429107,-0.000644089,0.01310759,-0.000404694,0.670868874
0.224,0.021165825,0.00409347,1.001602888,0.000194317,0.000449059,-0.000548239,0.013533755,-0.000401399,0.670899332
0.226,0.02041791,-0.001803815,0.99589628,0.000249493,0.000472204,-0.000174394,0.013915137,-0.00025311,0.670929015
0.228,0.01889091,0.003459354,0.998242378,0.000281227,0.000503988,0.000228748,0.014155736,-4.67E-05,0.670961916
0.23,0.02072954,-0.00139164,0.99586457,0.000290015,0.000534118,0.000436594,0.014247227,0.00017602,0.670997918
0.232,0.016023897,-0.001328227,0.99256742,0.000283083,0.000549508,0.000408502,0.01418436,0.000303369,0.671030581
0.234,0.019763483,-0.002437932,0.999986053,0.000258459,0.000533193,0.000219267,0.013950511,0.000242179,0.671048105
0.236,0.021228151,-0.00177211,0.997386336,0.000231808,0.000489455,0.000143145,0.01371085,3.51E-05,0.671037078
0.238,0.01521365,0.004378822,0.998147249,0.000220802,0.000454962,0.000323259,0.013499802,-0.000121011,0.670987904
0.24,0.021944905,0.00158871,0.99367708,0.000207904,0.000472105,0.000515212,0.013247022,-2.74E-05,0.670899332
0.242,0.020698376,-0.000345347,0.998369157,0.000197595,0.000528573,0.000506936,0.013112276,0.0001914,0.67078042
0.244,0.021570949,-0.001962345,0.995991409,0.000217798,0.000563641,0.000409285,0.013166634,0.000306749,0.670648932
0.246,0.015743425,-0.002628167,0.997956991,0.000247705,0.000546354,0.000389759,0.013230826,0.000229314,0.670526266
0.248,0.018454628,-0.002723285,0.996562064,0.000240331,0.000491401,0.000444405,0.013134014,-2.67E-05,0.670431793
0.25,0.021851417,-0.002786696,0.99691081,0.00020451,0.000423394,0.000499191,0.013001748,-0.000395049,0.67037797
0.252,0.018454628,-0.000345347,0.999795854,0.000189405,0.000362288,0.000559767,0.012979983,-0.000761346,0.670367837
0.254,0.021352803,-0.002818402,0.995389044,0.000201972,0.000318949,0.000673726,0.013020763,-0.001049753,0.670395315
0.256,0.023035619,-0.001550168,0.998971581,0.000229639,0.000284349,0.000781571,0.013180306,-0.001289864,0.670448422
0.258,0.020355584,-0.003230578,0.999700725,0.000276679,0.000242785,0.000881267,0.013475112,-0.001512179,0.670512736
0.26,0.015805751,-0.00183552,0.993708789,0.000315096,0.000191764,0.001004022,0.013667696,-0.001719222,0.670575142
0.262,0.022194214,0.002159415,0.99589628,0.000310931,0.000150828,0.000965628,0.013670919,-0.001797313,0.670626462
0.264,0.019264869,-0.000630699,0.999225199,0.000292618,0.000146158,0.000752155,0.013658776,-0.00165398,0.670662522
0.266,0.023316091,-0.000186818,0.993962407,0.000302926,0.0001669,0.000602726,0.013729694,-0.001403076,0.67068404
0.268,0.020355584,0.003459354,1.002205253,0.000343612,0.000191151,0.000588817,0.013892561,-0.001068317,0.670695543
0.27,0.023097945,0.005647057,0.995769501,0.000397048,0.000241323,0.000700204,0.014118773,-0.00050737,0.67070353
0.272,0.022194214,-0.00199405,0.997576594,0.000454686,0.000325829,0.000849386,0.014399919,0.000161209,0.670714557
0.274,0.019451847,0.002698414,0.998971581,0.000509803,0.000395755,0.000907628,0.014657345,0.00067636,0.670733571
0.276,0.017675543,0.001715532,0.993328333,0.000536483,0.000432818,0.000880163,0.014714841,0.001067002,0.67076236
0.278,0.021103499,-0.004942693,0.99694252,0.000524314,0.000451757,0.000724855,0.014581855,0.001267449,0.670799017
0.28,0.022131888,0.002603296,0.997069359,0.000511801,0.000442489,0.000481202,0.01446,0.001194182,0.670838833
0.282,0.021352803,-0.001296522,0.995357394,0.000534477,0.000420748,0.00030975,0.014449514,0.001042314,0.670875669
0.284,0.019919297,0.001049709,1.00033474,0.000576598,0.000417161,0.00025413,0.014471803,0.000894261,0.670903921
0.286,0.02216305,0.001557003,0.993898988,0.000609556,0.000431289,0.000286143,0.014485097,0.000786653,0.670920074
0.288,0.020542562,0.001683827,0.996752322,0.000634784,0.000460365,0.000276869,0.014520279,0.00078367,0.670923769
0.29,0.016366689,0.000193652,0.996562064,0.000648733,0.000497975,0.000147887,0.01446272,0.000833376,0.670916796
0.292,0.01695879,-0.00237452,0.998432577,0.000622265,0.000519264,4.98E-05,0.014161865,0.000803993,0.670901895
0.294,0.017737869,-0.001645286,0.995959699,0.000553738,0.000503386,7.75E-05,0.013684656,0.000607812,0.670881093
0.296,0.016678324,-0.00107458,0.997608244,0.000475792,0.000460687,0.000137403,0.013154535,0.000309596,0.670854509
0.298,0.016397852,-0.002945225,0.989080012,0.000402393,0.000414581,4.19E-05,0.012600469,-3.01E-05,0.670820534
0.3,0.020947685,0.000225358,0.992757678,0.000337059,0.000373105,-0.000401688,0.012134342,-0.000369101,0.670776665
0.302,0.018672768,0.005108058,0.999795854,0.000299242,0.000358663,-0.000985307,0.011893434,-0.00049258,0.670721054
0.304,0.02256817,-0.000535582,0.997766793,0.000297382,0.000396152,-0.00116417,0.011894501,-0.000321464,0.670653343
0.306,0.024500294,0.002920355,0.998432577,0.000332519,0.000457858,-0.00085361,0.012200191,-3.44E-05,0.670575202
0.308,0.023129109,-0.000218523,1.001412749,0.000409144,0.000504898,-0.000372462,0.012804925,0.000266436,0.670489907
0.31,0.023316091,-0.000630699,1.000683546,0.000507212,0.000527875,0.000167772,0.013540285,0.000486948,0.670400858
0.312,0.018766258,-0.00481587,0.995008647,0.000587471,0.000515108,0.000674892,0.014188873,0.000474594,0.670309782
0.314,0.021851417,-0.002628167,0.994311154,0.000626336,0.000456138,0.000848257,0.014612607,0.000181445,0.670215845
0.316,0.02256817,-0.005830456,0.995928049,0.000643677,0.000363411,0.00060762,0.014904968,-0.00032872,0.670116007
0.318,0.022100724,-0.001328227,0.999098361,0.000677023,0.000261782,0.000300549,0.015170882,-0.000931343,0.670006752
0.32,0.025435187,-0.001645286,0.995325625,0.000737995,0.000179964,0.000219365,0.015460992,-0.001434681,0.669887662
0.322,0.021352803,0.000796063,0.993233204,0.000818182,0.000138835,0.000199552,0.0157858,-0.001707187,0.669764161
0.324,0.020511398,0.001176533,1.001190782,0.000889348,0.000138432,6.33E-05,0.015992796,-0.001710422,0.669648588
0.326,0.018174157,-0.001201404,0.993296623,0.000916674,0.000159956,-2.09E-05,0.015944812,-0.001524145,0.669558048
0.328,0.016896464,0.002444768,0.995103717,0.000890733,0.000181553,-5.94E-05,0.015600662,-0.001245936,0.669509888
0.33,0.020604888,-0.000979463,0.993518531,0.00083347,0.000200534,-0.000268674,0.015070373,-0.00090119,0.669515669
0.332,0.02216305,0.001303357,0.997798502,0.000792508,0.000219654,-0.000569171,0.014617837,-0.000559933,0.669576228
0.334,0.020573724,-0.00177211,1.000493288,0.000797261,0.000231634,-0.000646396,0.014356605,-0.000287173,0.669680238
0.336,0.022318866,-0.001359933,0.997386336,0.000829103,0.000226896,-0.000368054,0.014241491,-0.000149659,0.669805825
0.338,0.018454628,0.002983766,0.993994057,0.00085661,0.000213969,-3.17E-05,0.014189845,-6.79E-05,0.66992563
0.34,0.026151942,0.002476472,1.002744317,0.000876009,0.000228893,0.000109039,0.014217413,0.00014408,0.670013309
0.342,0.018922072,-0.002120873,0.99694252,0.000908165,0.000274084,0.000267319,0.014379874,0.000397081,0.670048714
0.344,0.019732319,-0.00101117,0.991901636,0.00094151,0.000298837,0.000455345,0.014496192,0.000483501,0.670021951
0.346,0.019856971,9.85E-05,0.998178959,0.000942658,0.000284508,0.000361225,0.014463361,0.000430674,0.669933856
0.348,0.018111831,-0.003040343,0.996720612,0.000915719,0.000257243,0.00011417,0.014323685,0.000296607,0.669795394
0.35,0.017893689,0.00082777,0.992916167,0.000873982,0.000230336,-2.96E-05,0.014054675,9.51E-05,0.669624805
0.352,0.016522504,0.001874063,0.993898988,0.000814439,0.000217641,-0.00022792,0.013652925,-2.01E-05,0.669444382
0.354,0.021477461,-0.000820934,1.000683546,0.000748102,0.000233154,-0.000491421,0.013238321,-5.16E-06,0.669276655
0.356,0.016802976,0.000700946,0.998971581,0.000698764,0.000257089,-0.000467172,0.012926334,3.54E-05,0.669140995
0.358,0.019514173,0.001239944,0.992282093,0.000663287,0.000273269,-0.000183099,0.01267137,0.00010698,0.669049859
0.36,0.016834138,0.001335062,0.997101068,0.000620844,0.000293865,-9.11E-05,0.012434604,0.000246799,0.669007003
0.362,0.021477461,0.002096002,0.997861922,0.000574002,0.000327889,-0.000219913,0.012268531,0.000449081,0.669006467
0.364,0.01879742,-0.001137992,0.991394341,0.000542826,0.000364982,-0.000324319,0.012239942,0.000642695,0.669033766
0.366,0.014559222,-0.005006105,0.999986053,0.000516047,0.00037115,-0.00042689,0.012202257,0.000622895,0.669069409
0.368,0.020698376,-0.004245165,0.998813033,0.000462666,0.000314436,-0.000429394,0.012060951,0.000262783,0.669093132
0.37,0.016023897,-0.00031364,0.999383688,0.000395362,0.000219463,-0.000143036,0.011932082,-0.000254808,0.669088662
0.372,0.019451847,-0.000725817,0.997322977,0.000338423,0.00014937,0.000274116,0.011825871,-0.000666889,0.669047177
0.374,0.020823034,0.000479004,0.99691081,0.000298614,0.00012911,0.000553237,0.011814018,-0.000891595,0.668968678
0.376,0.023814702,0.000605828,0.994913459,0.000296425,0.000139195,0.000595348,0.01204758,-0.000935414,0.668860853
0.378,0.017706707,-0.002945225,0.996466935,0.000331463,0.000150728,0.000450969,0.012444746,-0.000901727,0.668736041
0.38,0.018205319,-0.000503875,0.999225199,0.000353048,0.000139749,0.000307551,0.012739631,-0.000912091,0.668608427
0.382,0.01490202,-0.00405493,0.99703759,0.000318152,0.00010311,0.000341941,0.012776195,-0.000994442,0.668490887
0.384,0.025185883,-0.000503875,1.000144601,0.000254894,5.35E-05,0.000530817,0.01272796,-0.001138626,0.66839385
0.386,0.020978848,0.003078884,0.997386336,0.000237458,2.05E-05,0.000764546,0.012891392,-0.001167608,0.668324709
0.388,0.020854196,3.42E-06,0.997449815,0.000280531,3.45E-05,0.000944324,0.013212432,-0.000966919,0.668287933
0.39,0.023690047,0.002127708,1.002078414,0.000336488,8.09E-05,0.001069584,0.013576153,-0.000643973,0.668284714
0.392,0.020542562,-0.006527985,0.996498704,0.000386529,0.000108849,0.00125497,0.013986154,-0.000418837,0.668312728
0.394,0.022786316,-0.00161358,0.995420754,0.000434034,7.78E-05,0.001386745,0.014368425,-0.000480822,0.668366253
0.396,0.020511398,-0.00031364,0.99472326,0.000475308,9.28E-06,0.00122253,0.014683361,-0.000672295,0.668436944
0.398,0.019981623,-0.000535582,0.997988701,0.000504289,-3.53E-05,0.000854773,0.014872796,-0.000784975,0.668515503
0.4,0.019856971,0.001810649,0.994976938,0.000513197,-3.63E-05,0.000552523,0.01489699,-0.000773753,0.668594003
0.402,0.026276598,0.001715532,0.99808383,0.000522469,-6.24E-06,0.000383762,0.014926482,-0.0005961,0.668667436
0.404,0.020355584,6.68E-05,0.998781264,0.000567383,3.87E-05,0.000331338,0.015093374,-0.000315793,0.66873455
0.406,0.021290477,-0.003072048,0.99687916,0.000630272,6.70E-05,0.000401875,0.015244788,-0.000123342,0.668797076
0.408,0.021976069,0.001144827,0.998717904,0.000671486,5.95E-05,0.000509617,0.015306454,-7.72E-05,0.668857336
0.41,0.017208099,-0.005671928,0.99472326,0.000685488,2.89E-05,0.000545047,0.0152561,-0.000159149,0.668915868
0.412,0.018859746,0.004505646,0.995610952,0.000668488,-4.81E-06,0.000429573,0.014993316,-0.000301389,0.668969393
0.414,0.020199768,-0.000155112,0.993550241,0.000626723,-9.77E-06,0.000137559,0.01461284,-0.000292573,0.66901052
0.416,0.014278756,-0.00427687,0.996625483,0.000578058,1.09E-05,-0.000229817,0.014155477,-0.000253173,0.669029474
0.418,0.017145768,-0.000218523,0.997956991,0.000508686,3.95E-06,-0.000474283,0.013532156,-0.000374976,0.669017315
0.42,0.020667214,-0.001518463,0.994881809,0.000423171,-3.36E-05,-0.000510234,0.012919391,-0.00053625,0.668968737
0.422,0.021383967,0.000383887,1.000588417,0.000373031,-6.09E-05,-0.000430771,0.012575986,-0.000642384,0.668884575
0.424,0.02041791,0.001683827,1.000810385,0.000377296,-5.95E-05,-0.000204398,0.012512974,-0.000628215,0.668771446
0.426,0.017083442,-0.002057462,0.998147249,0.000393113,-3.80E-05,0.000220516,0.012543416,-0.000522747,0.668639779
0.428,0.022599338,0.001049709,0.998369157,0.00038527,-2.08E-05,0.000628571,0.012588735,-0.000428963,0.668500304
0.43,0.017176932,-0.00237452,0.99253577,0.000367049,-1.97E-05,0.000756361,0.012685585,-0.000369309,0.668361127
0.432,0.017769033,-0.002437932,0.997544885,0.00034352,-3.59E-05,0.000549738,0.012712516,-0.000412743,0.668226302
0.434,0.020386746,0.000732652,0.994976938,0.000304095,-6.57E-05,0.00021604,0.012659843,-0.00052644,0.668096662
0.436,0.017737869,-0.00123311,0.997608244,0.000264548,-8.65E-05,-1.12E-05,0.012624132,-0.000589463,0.667972386
0.438,0.017208099,0.002444768,0.996403575,0.00022861,-8.25E-05,-9.61E-05,0.012537649,-0.000556341,0.66785562
0.44,0.026557064,0.004600764,0.995072007,0.000200891,-4.42E-05,-0.000134266,0.012538778,-0.000312673,0.667752683
0.442,0.021352803,-0.000503875,0.997481525,0.000223752,2.79E-05,-0.000214564,0.0128563,0.000104391,0.667673051
0.444,0.018859746,-0.000440464,0.993708789,0.000287284,9.15E-05,-0.000334449,0.013279819,0.000438688,0.667626441
0.446,0.017145768,-0.003452518,0.996688843,0.000315145,0.000103239,-0.000483895,0.013498155,0.000532584,0.66761893
0.448,0.016989954,-0.00123311,0.995579302,0.000275464,6.74E-05,-0.000635313,0.013445262,0.000389624,0.667648971
0.45,0.022412354,-0.000155112,0.991743088,0.000211717,2.14E-05,-0.000793794,0.013290832,0.00015655,0.667706311
0.452,0.021477461,0.000859474,0.99802047,0.000187006,2.07E-06,-0.001019307,0.013279525,-7.34E-06,0.667773247
